Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
71	fg1_m13	1	2.83	1	1	0.0	0.0	0.5847173113360976	-2.3462509538676244	4.2791071686310405	-0.03912305897352597	-0.027205534661500108	2.6705	0.15919004614741106	199	0.08	0.03	0.02	6.76	0.29	0.46	10.62	13.16	0.68	0.77	368	8.89	16.09	44.13	0.06	-1.21	132.27	17.04	-0.01	-0.59	0.06	0.01	-0.64
72	fg1_m13	1	2.92	1	1	0.0	0.0	0.6079659112383843	-2.28939321503824	4.393369350729243	-0.06113631530934102	-0.17090637787006135	2.7743	0.3884741080117309	206	4.2	0.04	0.02	6.6	0.28	0.36	6.55	7.57	0.68	0.77	368	9.21	6.97	44.28	-0.08	-1.19	132.78	16.21	0.15	-0.79	0.08	0.15	-0.64
74	fg1_m13	1	3.12	1	1	0.0	0.0	0.6091964062481738	-2.4296478021700065	4.3234382014089325	-0.055477532265623485	-0.050595153448979066	2.8017	0.23147973987349346	217	0.53	0.03	0.02	10.05	0.28	0.39	7.03	12.59	0.86	0.48	368	7.62	11.3	49.0	-0.01	-1.08	131.77	17.28	-0.13	-0.94	0.01	0.13	-0.98
75	fg1_m13	1	3.22	1	1	0.0	0.0	0.608954237780901	-2.4790911022252256	4.339725482655943	-0.09105727052223483	-0.07761015043811466	2.8731	0.13868149018617887	224	4.99	0.05	0.03	10.52	0.3	0.37	34.85	32.9	0.86	0.48	368	8.29	17.58	46.54	-0.05	-1.21	130.9	14.86	-0.01	-0.67	0.05	0.01	-1.8
76	fg1_m13	0	3.31	1	1	0.0	0.0	0.6049891010919115	-2.4699996820095804	4.42734962071242	-0.08992738458713771	-0.09163792537777267	2.7036	0.20808510825046256	231	0.9	0.05	0.03	9.86	0.31	0.44	16.32	15.98	0.68	0.48	368	8.79	16.41	45.98	-0.05	-1.17	132.09	15.29	0.07	-0.62	0.05	0.07	0.06
77	fg1_m13	0	3.41	1	1	0.0	0.0	0.6110773102872601	-2.4964348585256446	4.333727770066576	-0.0806511772268665	-0.10232386065431393	2.9056	0.22133541715840369	237	5.72	0.04	0.03	6.88	0.3	0.47	17.84	16.71	0.68	0.77	368	9.05	15.27	46.43	-0.05	-1.1	132.09	15.76	-0.12	-0.88	0.05	0.12	-0.08
79	fg1_m13	0	0.1	2	1	0.0	0.0	0.5958451500548718	-1.573789814490265	3.197392322329806	-0.000518952516018746	0.03358755748555293	0.6564	0.12194912154128265	2	1.74	0.04	0.06	10.79	0.83	0.83	1.26	1.61	0.61	0.77	1043	22.11	19.6	114.01	-0.04	-1.39	51.41	13.98	-0.56	0.74	0.04	0.56	-0.95
80	fg1_m13	1	0.39	2	2	5.04273439107088	2.488169716591288	0.6129889740169683	-1.3907481622045488	2.8248839960397483	0.3923718621631522	0.028420206957856037	0.6839	0.6196521981048246	9	1.54	0.02	0.04	13.3	0.72	0.72	4.78	5.42	0.96	0.48	1367	18.63	2.43	110.71	-0.54	-1.12	66.5	24.78	1.84	4.95	0.54	1.84	-0.07
81	fg1_m13	1	0.49	2	1	0.0	0.0	0.576563634329163	-1.7425443863068182	3.4384240699393165	0.06250549064777358	0.04989078828322647	0.7739	0.28901774874344544	16	13.67	0.06	0.1	25.08	0.76	0.87	32.05	30.35	1.25	1.07	1117	24.75	81.19	106.62	-0.04	-1.4	69.51	20.0	0.1	-0.29	0.04	0.1	0.39
82	fg1_m13	1	0.59	2	1	0.0	0.0	0.6783400789354697	-1.4734984971821417	2.325205285668789	0.19231555122674152	0.015258315505624537	0.6265	0.7261292585466816	23	8.06	0.05	0.06	17.69	0.57	0.46	16.98	19.76	1.36	0.48	673	12.08	12.45	84.58	0.08	-0.92	91.04	21.22	-0.49	0.16	0.08	0.49	1.77
83	fg1_m13	1	0.68	2	1	0.0	0.0	0.6072085085976076	-2.0060362369793556	3.494214709204201	0.1485958009274662	0.023443600330469168	1.6514	0.5869131666624268	30	8.64	0.05	0.05	11.54	0.62	0.6	8.46	13.67	0.86	0.77	1214	18.07	37.28	102.56	0.1	-1.33	79.7	21.52	0.71	1.08	0.1	0.71	-0.9
84	fg1_m13	1	0.88	2	2	6.551989476402493	5.657701104308167	0.6347649534882662	-2.1529748530932995	4.290369999731158	0.07224246873755914	-0.008810649203792018	1.8857	0.5572174206016907	36	7.92	0.03	0.04	17.48	0.49	0.67	3.4	5.91	0.68	0.48	368	9.69	31.37	66.62	0.07	-0.92	101.9	19.02	0.23	-0.46	0.07	0.23	0.34
85	fg1_m13	1	1.17	2	1	0.0	0.0	0.5974783916656888	-2.3306829457064904	4.079384476847864	-0.020831739567865458	-0.005652499565705045	2.3844	0.2167367768304111	42	13.46	0.03	0.04	6.09	0.49	0.67	12.71	23.95	0.68	0.77	688	11.73	7.92	72.84	-0.11	-1.02	88.25	18.15	0.95	0.62	0.11	0.95	-1.84
87	fg1_m13	1	1.37	2	1	0.0	0.0	0.5813517346076607	-2.310323385643474	4.476904977249822	-0.004897568475254437	0.007102076205887848	2.6581	0.3973034753057412	53	23.57	0.03	0.04	15.84	0.43	0.53	2.79	4.84	0.68	0.48	367	9.59	10.26	63.11	0.09	-0.96	106.04	21.16	0.33	-0.32	0.09	0.33	-0.81
88	fg1_m13	1	1.42	2	1	0.0	0.0	0.6295843534497712	-2.4101321460128955	4.0188932342035	0.0356345177281737	0.0007529669425747957	2.6486	0.19808097602528496	58	20.95	0.03	0.04	16.68	0.46	0.42	12.76	18.61	0.86	0.48	368	9.65	6.67	67.27	0.04	-0.99	108.62	20.15	0.31	-0.57	0.04	0.31	0.47
89	fg1_m13	1	1.47	2	1	0.0	0.0	0.5813250531902887	-2.442997467988401	4.5610183373589415	-0.0887845718845031	-0.03348388235246328	3.1001	0.16141919930931378	63	9.28	0.03	0.04	10.91	0.6	0.77	1.68	3.14	0.86	0.48	780	14.92	5.16	86.46	0.03	-1.4	83.67	19.24	1.18	1.43	0.03	1.18	-1.72
90	fg1_m13	1	1.52	2	1	0.0	0.0	0.5690452618352018	-2.3056783339527107	4.271583400370248	-0.0033529385632610586	-0.005348799456436436	2.9169	0.31123530997697263	68	12.73	0.04	0.06	15.88	0.46	0.63	3.43	4.88	0.86	0.48	368	10.71	8.87	57.48	0.02	-1.09	99.87	22.47	0.6	-0.25	0.02	0.6	-0.94
91	fg1_m13	1	1.66	2	1	0.0	0.0	0.5804480670439841	-2.356682590370227	4.350859737403306	-0.0817520833558012	-0.042427293429284	2.8828	0.17753002082038774	74	10.91	0.03	0.04	12.42	0.54	0.61	1.68	5.26	0.86	0.48	703	13.68	4.97	74.0	-0.05	-1.15	88.43	18.58	1.3	1.55	0.05	1.3	-1.61
92	fg1_m13	1	1.71	2	1	0.0	0.0	0.5303485822275548	-2.2654701390727268	3.901371821105541	-0.030341053584506256	0.0020372232766163925	2.7983	0.2491920470560053	81	8.89	0.03	0.03	13.67	0.5	0.43	1.21	3.59	1.09	0.48	747	11.57	0.95	77.91	-0.01	-1.02	93.11	18.92	1.21	1.25	0.01	1.21	1.24
93	fg1_m13	1	1.76	2	1	0.0	0.0	0.6104430222286346	-2.360379524637227	4.22663204063601	-0.051817262076983193	-0.03713356390659118	2.7289	0.2921055689622498	88	12.4	0.04	0.05	6.32	0.43	0.59	10.6	12.92	0.68	0.77	366	8.9	3.11	62.6	0.04	-1.06	103.16	20.0	0.63	-0.42	0.04	0.63	-1.04
94	fg1_m13	1	1.81	2	1	0.0	0.0	0.6177632134825958	-2.30502883014854	4.309192975412518	-0.10986943308515301	-0.014370188170667524	2.8494	0.3509844169272418	93	3.25	0.03	0.03	6.66	0.5	0.61	2.86	6.05	0.68	0.77	677	11.68	8.77	71.1	0.03	-1.25	86.96	20.65	1.1	0.96	0.03	1.1	-0.28
95	fg1_m13	1	1.86	2	1	0.0	0.0	0.5788833899791828	-2.322792752869712	4.327842012395965	-0.09021641617856008	-0.041028780831259104	2.6933	0.18838213816174976	99	8.42	0.03	0.03	5.33	0.48	0.65	1.8	5.35	0.68	0.77	665	11.45	8.52	76.54	0.01	-1.17	90.5	20.2	1.16	0.9	0.01	1.16	0.11
96	fg1_m13	1	1.91	2	1	0.0	0.0	0.5552459022060238	-2.2760090182864983	3.9643948391770487	-0.03667612949102895	-0.010495170948174723	2.7417	0.1252877499022733	103	5.28	0.03	0.04	16.22	0.44	0.5	4.09	4.39	0.68	0.48	368	9.39	9.62	65.82	0.06	-1.02	106.37	20.41	0.58	-0.24	0.06	0.58	-2.67
