Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
50	fg3_m15	1	3.13	2	2	3.541480042141837	11.790168177245755	0.539037592272177	-1.224542681243152	3.023274413699438	0.16262618700824438	0.026397579610373124	1.3577	0.3226251207797781	72	2.96	0.02	0.05	7.7	0.56	0.55	5.67	9.3	0.3	0.77	731	13.28	3.03	99.72	-0.13	-0.95	106.75	40.16	2.27	5.34	0.13	2.27	-0.48
56	fg3_m15	0	4.29	2	1	0.0	0.0	0.5684090895297113	-1.9855778187611035	3.33561192388888	-0.020766791811194413	-0.017019037447705655	1.4804	0.15976370095925208	114	2.58	0.02	0.03	7.17	0.57	0.47	1.75	5.06	0.86	0.77	723	13.42	16.3	90.43	-0.03	-1.15	104.85	20.61	0.55	-0.27	0.03	0.55	-0.3
57	fg3_m15	0	4.49	2	1	0.0	0.0	0.5656169170960663	-1.958458041034844	3.321572382802904	-0.06693346313985107	-0.0032158738935399666	1.4614	0.1055497241942878	121	1.37	0.03	0.03	15.6	0.57	0.53	11.75	27.05	1.09	0.48	720	13.27	8.3	91.7	0.06	-1.15	106.37	18.86	0.88	0.67	0.06	0.88	-1.74
58	fg3_m15	0	4.68	2	1	0.0	0.0	0.5557190843238947	-1.956065123573485	3.2747863865754234	-0.044166631918395684	-0.00612879560847824	1.4537	0.2436417257210773	128	0.59	0.03	0.03	15.39	0.57	0.53	12.38	20.25	1.09	0.48	710	13.02	11.65	91.79	0.02	-1.16	104.43	18.81	0.97	0.66	0.02	0.97	-1.06
59	fg3_m15	0	4.88	2	1	0.0	0.0	0.5716680193482634	-1.9589450728052304	3.2252092979467815	-0.06765568870309009	-0.001495238625540544	1.4377	0.18453161990536202	135	1.49	0.03	0.04	15.27	0.56	0.47	10.55	13.8	0.86	0.48	722	12.87	12.03	91.74	-0.02	-1.16	105.24	19.64	0.81	0.18	0.02	0.81	0.89
60	fg3_m15	0	0.05	3	1	0.0	0.0	0.5185424629727032	-1.8980286077756523	2.993517664882506	-0.022339992608596402	-0.00478753671386331	1.3451	0.05980458037754258	3	0.94	0.02	0.04	8.37	0.69	0.29	4.92	11.81	0.96	0.77	764	13.74	36.57	84.29	-0.07	-1.18	76.11	22.98	0.32	-0.11	0.07	0.32	-2.79
61	fg3_m15	1	0.59	3	1	0.0	0.0	0.5475132590131192	-1.8448058267897247	2.946726565072437	0.1098609302851376	0.0512341567312064	0.9323	0.26506028248522845	10	47.53	0.04	0.06	12.66	0.72	0.21	2.74	7.73	1.55	0.48	1419	18.14	50.06	98.21	0.08	-1.12	75.52	24.03	0.67	1.12	0.08	0.67	-1.37
62	fg3_m15	1	0.88	3	1	0.0	0.0	0.507931017536971	-1.875324997126125	2.854982535142672	0.041199930610857534	0.031305979242176096	1.2057	0.2889665038443221	17	8.5	0.03	0.04	10.15	0.7	0.26	8.07	17.64	1.09	0.48	1254	15.28	13.11	93.02	-0.05	-1.24	73.52	22.15	0.82	0.65	0.05	0.82	-1.41
63	fg3_m15	1	1.17	3	1	0.0	0.0	0.5378746789040677	-1.8845167260240008	2.9059285880499583	0.06176084953612475	0.005926258275550489	1.2937	0.23056812392310794	24	8.78	0.03	0.04	10.58	0.7	0.34	0.94	2.09	1.09	0.48	764	14.53	9.39	91.04	-0.02	-1.23	80.08	23.05	0.61	0.18	0.02	0.61	0.23
64	fg3_m15	1	1.47	3	1	0.0	0.0	0.5012392469587127	-1.900330034207969	2.9745301386994702	0.04051052411527789	0.00966233177477312	1.329	0.18502200849107892	31	2.84	0.03	0.04	11.08	0.69	0.33	9.92	14.5	0.86	0.48	764	12.75	4.01	92.68	-0.06	-1.24	79.04	23.09	0.6	-0.01	0.06	0.6	0.59
