Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
200	fg3_m12	0	0.1	6	1	0.0	0.0	0.5881589461959157	-1.5494776634823622	3.3155373219950777	-0.004929632983124603	0.07002290583639363	0.5498	0.060179310504988384	138	0.2	0.04	0.08	11.27	0.82	0.84	4.5	9.44	1.09	0.48	970	22.09	13.24	119.23	-0.01	-1.42	54.52	18.59	-0.14	0.78	0.01	0.14	-0.7
201	fg3_m12	0	0.2	6	1	0.0	0.0	0.5791348958537217	-1.5579261906251352	3.2385833922304763	0.012794376281794112	0.06672781779324335	0.5142	0.06868386103622652	145	0.9	0.04	0.08	11.81	0.83	0.86	1.04	1.92	1.36	0.48	964	22.79	11.24	119.1	-0.06	-1.39	53.94	19.49	-0.35	0.94	0.06	0.35	1.55
203	fg3_m12	1	0.59	6	1	0.0	0.0	0.616556651110893	-1.8133621690734805	3.88279302994814	0.2848124833053782	0.05884696291888161	1.1043	0.768630228513103	164	12.67	0.04	0.07	13.24	0.75	0.88	4.13	12.92	1.92	0.48	1069	21.28	34.02	105.93	0.13	-1.04	74.59	30.68	0.24	-0.33	0.13	0.24	1.48
204	fg3_m12	1	0.78	6	1	0.0	0.0	0.6361997821029928	-2.081130051288542	3.4113996743725195	0.1535530300792712	0.023286337581574376	1.6051	0.2682411741866897	170	0.57	0.02	0.04	8.33	0.61	0.7	4.76	6.73	0.96	0.77	617	12.88	13.32	86.93	-0.1	-1.22	91.92	18.52	0.31	-0.36	0.1	0.31	-1.48
205	fg3_m12	1	1.17	6	1	0.0	0.0	0.5993615672475588	-2.073930533577013	4.048115184814387	0.036155787071323185	0.013292097677606116	1.8912	0.2225090286318244	182	4.33	0.03	0.05	11.41	0.65	0.75	7.31	12.96	0.68	0.48	786	15.55	6.07	97.77	0.07	-1.28	88.2	21.17	0.94	0.73	0.07	0.94	1.35
206	fg3_m12	1	1.37	6	1	0.0	0.0	0.6162261502483639	-2.0509633929818274	3.6149324861067593	0.06387616193469257	0.012980188324819768	1.5787	0.28987721201559874	189	1.29	0.03	0.05	9.88	0.67	0.74	3.33	4.52	0.68	0.48	803	16.42	15.21	98.13	-0.09	-1.27	88.8	18.22	0.92	0.58	0.09	0.92	-1.53
207	fg3_m12	1	1.56	6	1	0.0	0.0	0.5965256281139653	-2.142415896684334	3.8992145201199073	-0.00257970149701068	0.006715295509313617	1.7354	0.267582628363626	196	0.58	0.02	0.04	10.36	0.69	0.76	2.96	4.3	0.61	0.48	791	16.41	49.23	96.79	0.04	-1.32	88.97	21.35	0.8	0.23	0.04	0.8	-1.14
0	fg1_m13_iso0.333_rotated	0	0.05	0	1	0.0	0.0	0.5050262539603897	-1.7657472377111283	2.740964416556146	-0.09075495243084572	-0.014989586784136009	0.8586	0.13857402444624756	0	42.84	0.08	0.08	13.02	0.74	0.3	4.99	15.53	1.09	0.48	764	11.77	0.03	51.53	-0.05	-1.18	32.79	13.0	-0.01	0.44	0.05	0.01	1.91
1	fg1_m13_iso0.333_rotated	0	0.1	0	1	0.0	0.0	0.5233335225664254	-1.7572163534187415	2.6938759801167667	-0.08541669674550728	-0.02101850504929572	0.8436	0.12467643320925237	7	2.31	0.03	0.06	7.66	0.74	0.31	5.65	20.3	1.09	0.48	764	11.81	4.41	52.88	0.01	-1.15	35.04	13.41	-0.33	-0.03	0.01	0.33	-0.32
2	fg1_m13_iso0.333_rotated	0	0.29	0	1	0.0	0.0	0.5271376560487386	-1.8025208358026183	2.8015155156503684	-0.03155531538639899	0.0057032980785289115	0.8899	0.1259615411762908	14	0.17	0.05	0.09	8.74	0.69	0.3	10.67	21.7	0.68	0.48	368	11.26	8.1	44.44	-0.18	-1.01	41.3	11.46	0.25	0.79	0.18	0.25	0.25
